"Method_Name","Total_Number_Of_Lines","Cyclomatic_Complexity"
"ASTHelpers.getSymbol",0,2
"ASTHelpers.getType",0,7
"ASTHelpers.hasAnnotation",0,1
"ASTHelpers.hasAnnotation",0,1
"ASTHelpers.isGeneratedConstructor",0,2
"ASTHelpers.matchBinaryTree",0,5
"ASTHelpers.sameVariable",0,14
"BadShiftAmountTest.setUp",0,1
"BadShiftAmountTest.testNegativeCase",0,1
"BadShiftAmountTest.testPositiveCase",0,1
"ChainingConstructorIgnoresParameterTest.setUp",0,1
"ChainingConstructorIgnoresParameterTest.testNegativeCase",0,1
"ChainingConstructorIgnoresParameterTest.testPositiveCase",0,1
"CheckReturnValueTest.badCanIgnoreReturnValueOnProcedure",0,1
"CheckReturnValueTest.badCRVOnProcedure",0,1
"CheckReturnValueTest.errorBothClass",0,1
"CheckReturnValueTest.errorBothMethod",0,1
"CheckReturnValueTest.setUp",0,1
"CheckReturnValueTest.testClassAnnotation",0,1
"CheckReturnValueTest.testClassAnnotationButCanIgnoreReturnValue",0,1
"CheckReturnValueTest.testNegativeCase",0,1
"CheckReturnValueTest.testNestedClassAnnotation",0,1
"CheckReturnValueTest.testNestedClassWithCanIgnoreAnnotation",0,1
"CheckReturnValueTest.testPackageAnnotation",0,1
"CheckReturnValueTest.testPackageAnnotationButCanIgnoreReturnValue",0,1
"CheckReturnValueTest.testPackageWithCanIgnoreAnnotation",0,1
"CheckReturnValueTest.testPositiveCases",0,1
"CheckReturnValueTest.testVoidReturningMethodInAnnotatedPackage",0,1
"ClassCanBeStaticTest.setUp",0,1
"ClassCanBeStaticTest.testNegativeCase",0,1
"ClassCanBeStaticTest.testPositiveCase1",0,1
"ClassCanBeStaticTest.testPositiveCase2",0,1
"ClassCanBeStaticTest.testPositiveCase3",0,1
"CollectionIncompatibleTypeTest.setUp",0,1
"CollectionIncompatibleTypeTest.testClassCast",0,1
"CollectionIncompatibleTypeTest.testNegativeCase",0,1
"CollectionIncompatibleTypeTest.testOutOfBounds",0,1
"CollectionIncompatibleTypeTest.testPositiveCase",0,1
"ComparisonOutOfRangeTest.setUp",0,1
"ComparisonOutOfRangeTest.testNegativeCases",0,1
"ComparisonOutOfRangeTest.testPositiveCases",0,1
"CompilationTestHelper.asJavacList",0,1
"CompilationTestHelper.assertCompileFailsWithMessages",0,1
"CompilationTestHelper.assertCompileFailsWithMessages",0,1
"CompilationTestHelper.assertCompileFailsWithMessages",0,1
"CompilationTestHelper.assertCompileSucceeds",0,1
"CompilationTestHelper.assertCompileSucceeds",0,1
"CompilationTestHelper.assertCompileSucceeds",0,1
"CompilationTestHelper.assertCompileSucceedsIgnoringWarnings",0,1
"CompilationTestHelper.assertCompileSucceedsWithMessages",0,1
"CompilationTestHelper.assertCompileSucceedsWithMessages",0,1
"CompilationTestHelper.buildArguments",0,1
"CompilationTestHelper.checkWellFormed",0,2
"CompilationTestHelper.CompilationTestHelper",0,1
"CompilationTestHelper.compile",0,1
"CompilationTestHelper.disableImplicitProcessing",0,3
"CompilationTestHelper.fileManager",0,1
"CompilationTestHelper.newInstance",0,1
"CompilationTestHelper.newInstance",0,1
"CompilationTestHelper.newInstance",0,1
"CompoundAssignment.CompoundAssignment",0,3
"CompoundAssignment.matches",0,3
"CompoundAssignment.validateOperators",0,2
"Constructor.Constructor",0,1
"Constructor.matches",0,3
"ConstructorOfClass.ConstructorOfClass",0,1
"CovariantEqualsTest.setUp",0,1
"CovariantEqualsTest.testNegativeCase",0,1
"CovariantEqualsTest.testPositiveCase1",0,1
"CovariantEqualsTest.testPositiveCase2",0,1
"CovariantEqualsTest.testPositiveCase3",0,1
"CovariantEqualsTest.testPositiveCase4",0,1
"CovariantEqualsTest.testPositiveCase5",0,1
"DeadExceptionTest.setUp",0,1
"DeadExceptionTest.testNegativeCase",0,1
"DeadExceptionTest.testNegativeCaseWhenExceptionsUnthrownInTests",0,1
"DeadExceptionTest.testPositiveCase",0,1
"DepAnnTest.setUp",0,1
"DepAnnTest.testDisableable",0,1
"DepAnnTest.testNegativeCase1",0,1
"DepAnnTest.testNegativeCase2",0,1
"DepAnnTest.testPositiveCase",0,1
